Model,N_Pixels,Success
MobileNetV2,1,False
MobileNetV2,3,False
MobileNetV2,5,False
MobileNetV2,1,False
MobileNetV2,3,True
MobileNetV2,5,True
MobileNetV2,1,False
MobileNetV2,3,False
MobileNetV2,5,False
MobileNetV2,1,True
MobileNetV2,3,True
MobileNetV2,5,True
MobileNetV2,1,True
MobileNetV2,3,True
MobileNetV2,5,True
MobileNetV2,1,False
MobileNetV2,3,False
MobileNetV2,5,False
MobileNetV2,1,True
MobileNetV2,3,True
MobileNetV2,5,True
MobileNetV2,1,False
MobileNetV2,3,False
MobileNetV2,5,True
InceptionV3,1,False
InceptionV3,3,False
InceptionV3,5,False
InceptionV3,1,False
InceptionV3,3,False
InceptionV3,5,False
InceptionV3,1,False
InceptionV3,3,False
InceptionV3,5,False
InceptionV3,1,True
InceptionV3,3,True
InceptionV3,5,True
InceptionV3,1,True
InceptionV3,3,True
InceptionV3,5,True
InceptionV3,1,False
InceptionV3,3,False
InceptionV3,5,False
InceptionV3,1,True
InceptionV3,3,True
InceptionV3,5,True
InceptionV3,1,False
InceptionV3,3,True
InceptionV3,5,True
