Model,Epsilon,Accuracy
MobileNetV2,0.0,100.0
MobileNetV2,1e-05,100.0
MobileNetV2,5e-05,83.33333333333333
MobileNetV2,0.0001,73.33333333333333
MobileNetV2,0.0005,40.0
MobileNetV2,0.001,20.0
MobileNetV2,0.005,6.666666666666667
MobileNetV2,0.01,6.666666666666667
MobileNetV2,0.05,3.3333333333333335
MobileNetV2,0.1,0.0
MobileNetV2,0.2,0.0
MobileNetV2,0.3,0.0
MobileNetV2,0.5,0.0
EfficientNetB0,0.0,100.0
EfficientNetB0,1e-05,100.0
EfficientNetB0,5e-05,93.33333333333333
EfficientNetB0,0.0001,93.33333333333333
EfficientNetB0,0.0005,73.33333333333333
EfficientNetB0,0.001,56.666666666666664
EfficientNetB0,0.005,20.0
EfficientNetB0,0.01,20.0
EfficientNetB0,0.05,10.0
EfficientNetB0,0.1,3.3333333333333335
EfficientNetB0,0.2,3.3333333333333335
EfficientNetB0,0.3,0.0
EfficientNetB0,0.5,0.0
InceptionV3,0.0,100.0
InceptionV3,1e-05,96.66666666666667
InceptionV3,5e-05,86.66666666666667
InceptionV3,0.0001,83.33333333333333
InceptionV3,0.0005,46.666666666666664
InceptionV3,0.001,26.666666666666668
InceptionV3,0.005,13.333333333333334
InceptionV3,0.01,10.0
InceptionV3,0.05,10.0
InceptionV3,0.1,10.0
InceptionV3,0.2,13.333333333333334
InceptionV3,0.3,10.0
InceptionV3,0.5,6.666666666666667
