Attack,Image,Source_Model,Target_Model,Source_Class_Idx,Target_Class_Idx,Transferred,Source_Class,Target_Class
FGSM,n01532829.jpg,MobileNetV2,EfficientNetB0,12,12,False,house_finch,house_finch
FGSM,n01532829.jpg,MobileNetV2,InceptionV3,12,12,False,house_finch,house_finch
FGSM,n01558993.jpg,MobileNetV2,EfficientNetB0,15,15,False,robin,robin
FGSM,n01558993.jpg,MobileNetV2,InceptionV3,15,15,False,robin,robin
FGSM,n01704323.jpg,MobileNetV2,EfficientNetB0,51,51,False,triceratops,triceratops
FGSM,n01704323.jpg,MobileNetV2,InceptionV3,51,51,False,triceratops,triceratops
FGSM,n01749939.jpg,MobileNetV2,EfficientNetB0,64,377,True,green_mamba,marmoset
FGSM,n01749939.jpg,MobileNetV2,InceptionV3,64,51,True,green_mamba,triceratops
FGSM,n01770081.jpg,MobileNetV2,EfficientNetB0,73,70,True,barn_spider,harvestman
FGSM,n01770081.jpg,MobileNetV2,InceptionV3,73,70,True,barn_spider,harvestman
FGSM,n01843383.jpg,MobileNetV2,EfficientNetB0,96,96,False,toucan,toucan
FGSM,n01843383.jpg,MobileNetV2,InceptionV3,96,96,False,toucan,toucan
FGSM,n01855672.jpg,MobileNetV2,EfficientNetB0,168,138,True,redbone,bustard
FGSM,n01855672.jpg,MobileNetV2,InceptionV3,168,134,True,redbone,crane
FGSM,n01910747.jpg,MobileNetV2,EfficientNetB0,451,107,True,bolo_tie,jellyfish
FGSM,n01910747.jpg,MobileNetV2,InceptionV3,451,735,True,bolo_tie,poncho
FGSM,n01981276.jpg,MobileNetV2,EfficientNetB0,126,121,True,isopod,king_crab
FGSM,n01981276.jpg,MobileNetV2,InceptionV3,126,121,True,isopod,king_crab
FGSM,n02074367.jpg,MobileNetV2,EfficientNetB0,149,149,False,dugong,dugong
FGSM,n02074367.jpg,MobileNetV2,InceptionV3,149,149,False,dugong,dugong
FGSM,n02089867.jpg,MobileNetV2,EfficientNetB0,167,195,True,English_foxhound,Boston_bull
FGSM,n02089867.jpg,MobileNetV2,InceptionV3,167,806,True,English_foxhound,sock
FGSM,n02091244.jpg,MobileNetV2,EfficientNetB0,977,142,True,sandbar,dowitcher
FGSM,n02091244.jpg,MobileNetV2,InceptionV3,977,140,True,sandbar,red-backed_sandpiper
FGSM,n02091831.jpg,MobileNetV2,EfficientNetB0,166,212,True,Walker_hound,English_setter
FGSM,n02091831.jpg,MobileNetV2,InceptionV3,166,212,True,Walker_hound,English_setter
FGSM,n02099601.jpg,MobileNetV2,EfficientNetB0,207,207,False,golden_retriever,golden_retriever
FGSM,n02099601.jpg,MobileNetV2,InceptionV3,207,207,False,golden_retriever,golden_retriever
FGSM,n02101006.jpg,MobileNetV2,EfficientNetB0,165,214,True,black-and-tan_coonhound,Gordon_setter
FGSM,n02101006.jpg,MobileNetV2,InceptionV3,165,214,True,black-and-tan_coonhound,Gordon_setter
FGSM,n02105505.jpg,MobileNetV2,EfficientNetB0,228,260,True,komondor,chow
FGSM,n02105505.jpg,MobileNetV2,InceptionV3,228,162,True,komondor,beagle
FGSM,n02108089.jpg,MobileNetV2,EfficientNetB0,242,162,True,boxer,beagle
FGSM,n02108089.jpg,MobileNetV2,InceptionV3,242,242,False,boxer,boxer
FGSM,n02108551.jpg,MobileNetV2,EfficientNetB0,244,256,True,Tibetan_mastiff,Newfoundland
FGSM,n02108551.jpg,MobileNetV2,InceptionV3,244,244,False,Tibetan_mastiff,Tibetan_mastiff
FGSM,n02108915.jpg,MobileNetV2,EfficientNetB0,179,281,True,Staffordshire_bullterrier,tabby
FGSM,n02108915.jpg,MobileNetV2,InceptionV3,179,357,True,Staffordshire_bullterrier,mink
FGSM,n02110063.jpg,MobileNetV2,EfficientNetB0,249,271,True,malamute,red_wolf
FGSM,n02110063.jpg,MobileNetV2,InceptionV3,249,339,True,malamute,sorrel
FGSM,n02110341.jpg,MobileNetV2,EfficientNetB0,166,257,True,Walker_hound,Great_Pyrenees
FGSM,n02110341.jpg,MobileNetV2,InceptionV3,166,251,True,Walker_hound,dalmatian
FGSM,n02111277.jpg,MobileNetV2,EfficientNetB0,206,334,True,curly-coated_retriever,porcupine
FGSM,n02111277.jpg,MobileNetV2,InceptionV3,206,226,True,curly-coated_retriever,briard
FGSM,n02113712.jpg,MobileNetV2,EfficientNetB0,194,196,True,Dandie_Dinmont,miniature_schnauzer
FGSM,n02113712.jpg,MobileNetV2,InceptionV3,194,196,True,Dandie_Dinmont,miniature_schnauzer
FGSM,n02114548.jpg,MobileNetV2,EfficientNetB0,270,270,False,white_wolf,white_wolf
FGSM,n02114548.jpg,MobileNetV2,InceptionV3,270,188,True,white_wolf,wire-haired_fox_terrier
FGSM,n02116738.jpg,MobileNetV2,EfficientNetB0,275,275,False,African_hunting_dog,African_hunting_dog
FGSM,n02116738.jpg,MobileNetV2,InceptionV3,275,275,False,African_hunting_dog,African_hunting_dog
FGSM,n02120079.jpg,MobileNetV2,EfficientNetB0,279,270,True,Arctic_fox,white_wolf
FGSM,n02120079.jpg,MobileNetV2,InceptionV3,279,270,True,Arctic_fox,white_wolf
FGSM,n02129165.jpg,MobileNetV2,EfficientNetB0,291,274,True,lion,dhole
FGSM,n02129165.jpg,MobileNetV2,InceptionV3,291,291,False,lion,lion
FGSM,n02138441.jpg,MobileNetV2,EfficientNetB0,335,299,True,fox_squirrel,meerkat
FGSM,n02138441.jpg,MobileNetV2,InceptionV3,335,299,True,fox_squirrel,meerkat
FGSM,n02165456.jpg,MobileNetV2,EfficientNetB0,301,301,False,ladybug,ladybug
FGSM,n02165456.jpg,MobileNetV2,InceptionV3,301,301,False,ladybug,ladybug
FGSM,n01532829.jpg,EfficientNetB0,MobileNetV2,12,73,True,house_finch,barn_spider
FGSM,n01532829.jpg,EfficientNetB0,InceptionV3,12,12,False,house_finch,house_finch
FGSM,n01558993.jpg,EfficientNetB0,MobileNetV2,15,86,True,robin,partridge
