Attack,Source_Model,Target_Model,ASR
FGSM,MobileNetV2,MobileNetV2,100.0
FGSM,MobileNetV2,EfficientNetB0,68.96551724137932
FGSM,MobileNetV2,InceptionV3,62.06896551724138
FGSM,EfficientNetB0,MobileNetV2,92.5925925925926
FGSM,EfficientNetB0,EfficientNetB0,100.0
FGSM,EfficientNetB0,InceptionV3,88.88888888888889
FGSM,InceptionV3,MobileNetV2,70.37037037037037
FGSM,InceptionV3,EfficientNetB0,62.96296296296296
FGSM,InceptionV3,InceptionV3,100.0
PGD,MobileNetV2,MobileNetV2,100.0
PGD,MobileNetV2,EfficientNetB0,66.66666666666666
PGD,MobileNetV2,InceptionV3,70.0
PGD,EfficientNetB0,MobileNetV2,90.0
PGD,EfficientNetB0,EfficientNetB0,100.0
PGD,EfficientNetB0,InceptionV3,86.66666666666667
PGD,InceptionV3,MobileNetV2,70.0
PGD,InceptionV3,EfficientNetB0,56.666666666666664
PGD,InceptionV3,InceptionV3,100.0
DeepFool,MobileNetV2,MobileNetV2,100.0
DeepFool,MobileNetV2,EfficientNetB0,33.33333333333333
DeepFool,MobileNetV2,InceptionV3,46.666666666666664
DeepFool,EfficientNetB0,MobileNetV2,44.827586206896555
DeepFool,EfficientNetB0,EfficientNetB0,100.0
DeepFool,EfficientNetB0,InceptionV3,37.93103448275862
DeepFool,InceptionV3,MobileNetV2,57.14285714285714
DeepFool,InceptionV3,EfficientNetB0,25.0
DeepFool,InceptionV3,InceptionV3,100.0
