Attack,Source_Class,Target_Class,Count
PGD,dugong,ice_bear,4
DeepFool,harvestman,barn_spider,3
FGSM,Arctic_fox,white_wolf,3
FGSM,fox_squirrel,meerkat,3
DeepFool,English_foxhound,Walker_hound,3
PGD,Tibetan_mastiff,Irish_water_spaniel,3
FGSM,golden_retriever,bloodhound,3
DeepFool,curly-coated_retriever,Irish_water_spaniel,2
DeepFool,fox_squirrel,meerkat,2
DeepFool,bolo_tie,isopod,2
DeepFool,dogsled,sandbar,2
DeepFool,goose,redbone,2
DeepFool,green_mamba,vine_snake,2
DeepFool,komondor,white_wolf,2
DeepFool,redbone,goose,2
FGSM,Dandie_Dinmont,miniature_schnauzer,2
DeepFool,vine_snake,green_mamba,2
FGSM,Dandie_Dinmont,toy_poodle,2
FGSM,English_foxhound,Saluki,2
FGSM,English_foxhound,sock,2
DeepFool,white_wolf,komondor,2
DeepFool,isopod,king_crab,2
DeepFool,king_crab,isopod,2
DeepFool,milk_can,malamute,2
DeepFool,meerkat,fox_squirrel,2
DeepFool,isopod,bolo_tie,2
FGSM,Irish_water_spaniel,Newfoundland,2
DeepFool,Irish_water_spaniel,curly-coated_retriever,2
DeepFool,Dandie_Dinmont,otterhound,2
FGSM,Staffordshire_bullterrier,mink,2
FGSM,harvestman,wolf_spider,2
FGSM,isopod,king_crab,2
FGSM,lion,dhole,2
FGSM,goose,ibex,2
FGSM,Walker_hound,English_setter,2
FGSM,boxer,beagle,2
FGSM,boxer,Saint_Bernard,2
FGSM,Tibetan_mastiff,Irish_water_spaniel,2
FGSM,Staffordshire_bullterrier,tabby,2
FGSM,barn_spider,harvestman,2
FGSM,black-and-tan_coonhound,Gordon_setter,2
PGD,komondor,papillon,2
PGD,isopod,king_crab,2
PGD,isopod,fur_coat,2
PGD,harvestman,barn_spider,2
FGSM,white_wolf,Afghan_hound,2
PGD,golden_retriever,bloodhound,2
PGD,fox_squirrel,meerkat,2
PGD,fox_squirrel,hyena,2
PGD,golden_retriever,dalmatian,2
PGD,Walker_hound,English_setter,2
PGD,boxer,Welsh_springer_spaniel,2
PGD,black-and-tan_coonhound,Gordon_setter,2
PGD,Dandie_Dinmont,tarantula,2
PGD,German_short-haired_pointer,Saluki,2
PGD,Irish_water_spaniel,American_black_bear,2
PGD,Gordon_setter,bluetick,2
PGD,Dandie_Dinmont,miniature_schnauzer,2
PGD,English_foxhound,English_setter,2
DeepFool,black-and-tan_coonhound,Gordon_setter,2
DeepFool,Gordon_setter,black-and-tan_coonhound,2
PGD,lion,dhole,2
PGD,lion,lynx,2
PGD,komondor,white_wolf,2
PGD,white_wolf,Old_English_sheepdog,2
FGSM,Dandie_Dinmont,wombat,1
FGSM,English_foxhound,Boston_bull,1
FGSM,Arctic_fox,Samoyed,1
FGSM,Dandie_Dinmont,tarantula,1
FGSM,Gordon_setter,black-and-tan_coonhound,1
FGSM,German_short-haired_pointer,Ibizan_hound,1
FGSM,German_short-haired_pointer,Afghan_hound,1
FGSM,English_foxhound,gazelle,1
DeepFool,schipperke,French_bulldog,1
DeepFool,schipperke,Staffordshire_bullterrier,1
DeepFool,seashore,dogsled,1
FGSM,Tibetan_mastiff,cocker_spaniel,1
FGSM,Walker_hound,Great_Pyrenees,1
FGSM,Walker_hound,dalmatian,1
FGSM,Walker_hound,Boston_bull,1
FGSM,Walker_hound,Cardigan,1
FGSM,curly-coated_retriever,briard,1
FGSM,curly-coated_retriever,porcupine,1
FGSM,bolo_tie,poncho,1
FGSM,bolo_tie,jellyfish,1
FGSM,dalmatian,beagle,1
FGSM,dalmatian,English_setter,1
FGSM,dogsled,dowitcher,1
FGSM,dogsled,fountain,1
FGSM,Tibetan_mastiff,Newfoundland,1
FGSM,Gordon_setter,tabby,1
FGSM,Irish_water_spaniel,howler_monkey,1
FGSM,Irish_water_spaniel,sloth_bear,1
FGSM,golden_retriever,beagle,1
FGSM,fox_squirrel,Madagascar_cat,1
FGSM,dugong,chow,1
FGSM,dugong,ice_bear,1
