Model,Attack,Accuracy (%),ASR (%),Avg_L2
EfficientNetB0,Baseline,100.0,0.0,0.0
EfficientNetB0,C&W,35.0,65.0,29149.57044921875
EfficientNetB0,DeepFool,3.0,97.0,106.82044188171625
EfficientNetB0,FGSM,8.0,92.0,2440.1118603515624
EfficientNetB0,PGD,0.0,100.0,1401.1320288085938
EfficientNetB0,T-IFGSM,1.0,99.0,1218.8564501953124
InceptionV3,Baseline,100.0,0.0,0.0
InceptionV3,C&W,7.000000000000001,93.0,35.850080785751345
InceptionV3,DeepFool,5.0,95.0,2.146886090138432
InceptionV3,FGSM,9.0,91.0,25.54686794281006
InceptionV3,PGD,0.0,100.0,14.241218633651734
InceptionV3,T-IFGSM,1.0,99.0,11.106490030288697
MobileNetV2,Baseline,100.0,0.0,0.0
MobileNetV2,C&W,5.0,95.0,26.84632056236267
MobileNetV2,DeepFool,5.0,95.0,0.3568965327461774
MobileNetV2,FGSM,3.0,97.0,19.138744916915893
MobileNetV2,PGD,0.0,100.0,10.670387811660767
MobileNetV2,T-IFGSM,1.0,99.0,8.457439861297608
